 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Composite:1,4938.567,361.950,0.474,133.603,477,12,172.367,50.086,3.055,0.327,0.860
2,Composite:1,57.772,40.817,0.436,18.213,575,0,167.005,4.095,4.720,0.212,0.816
3,Composite:1,5.591,8.522,0.967,4.317,1236,8,161.565,1.365,3.000,0.333,1.000
4,Composite:1,1.864,3.861,1.000,1.931,2020,18,135.000,1.365,1.000,1.000,1.000
5,Composite:1,5.591,8.522,0.967,4.317,76,22,161.565,1.365,3.000,0.333,1.000
6,Composite:1,7.454,10.453,0.857,4.922,1228,26,123.690,2.730,2.000,0.500,0.800
7,Composite:1,18.636,16.244,0.887,6.826,837,31,36.870,4.827,1.491,0.670,0.800
8,Composite:1,3.727,5.792,1.000,3.053,1224,28,153.435,1.365,2.000,0.500,1.000
9,Composite:1,18.636,17.044,0.806,7.352,395,39,68.199,4.095,1.683,0.594,0.800
10,Composite:1,1.864,3.861,1.000,1.931,820,42,135.000,1.365,1.000,1.000,1.000
11,Composite:1,68.954,30.558,0.928,12.210,476,50,26.565,8.688,1.395,0.717,0.871
12,Composite:1,1.864,3.861,1.000,1.931,162,46,135.000,1.365,1.000,1.000,1.000
13,Composite:1,27.954,27.166,0.476,12.951,1298,46,161.565,4.095,3.760,0.266,0.769
14,Composite:1,1106.985,143.276,0.678,44.571,48,52,117.350,37.166,1.179,0.848,0.889
15,Composite:1,11.182,15.913,0.555,7.352,867,57,68.199,2.730,3.550,0.282,0.750
16,Composite:1,1.864,3.861,1.000,1.931,60,54,135.000,1.365,1.000,1.000,1.000
17,Composite:1,59.636,28.628,0.914,10.397,884,59,23.199,9.466,1.083,0.923,0.831
18,Composite:1,115.544,39.549,0.928,15.565,232,58,105.255,9.556,1.474,0.679,0.932
19,Composite:1,1.864,3.861,1.000,1.931,166,60,135.000,1.365,1.000,1.000,1.000
20,Composite:1,22.363,18.175,0.851,7.960,632,78,59.036,5.461,1.572,0.636,0.774
21,Composite:1,9.318,13.183,0.674,5.792,642,77,45.000,3.861,1.727,0.579,0.714
