 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RGB,3497.996,244.685,0.734,73.894,614,208,11.725,65.933,1.027,0.974,0.912
2,RGB,5652.330,432.388,0.380,137.399,1502,365,117.838,104.283,1.240,0.807,0.625
3,RGB,2465.556,259.741,0.459,95.365,1790,495,166.759,44.322,2.881,0.347,0.721
4,RGB,70.817,34.088,0.766,12.951,1850,538,71.565,8.191,1.660,0.602,0.826
5,RGB,659.718,117.516,0.600,47.073,1327,776,163.142,20.757,2.449,0.408,0.837
6,RGB,806.943,108.194,0.866,37.758,1087,819,77.471,29.182,1.301,0.768,0.936
7,RGB,54.045,26.697,0.953,10.397,1341,835,113.199,8.191,1.272,0.786,0.853
8,RGB,372.722,84.890,0.650,34.455,1966,873,56.310,17.887,2.048,0.488,0.837
9,RGB,85.726,34.420,0.909,12.586,767,895,167.471,10.618,1.116,0.896,0.852
10,RGB,2033.199,190.022,0.708,75.725,1086,970,62.049,37.783,1.998,0.500,0.928
11,RGB,2331.376,223.368,0.587,93.878,317,1078,40.872,32.881,3.220,0.311,0.909
12,RGB,18270.835,896.248,0.286,204.644,465,1231,13.109,164.227,1.329,0.753,0.724
13,RGB,7610.984,333.047,0.862,111.215,900,1219,131.517,94.009,1.169,0.856,0.972
14,RGB,80.135,50.470,0.395,22.884,599,1314,107.354,6.826,3.691,0.271,0.768
15,RGB,31.681,20.905,0.911,9.653,633,1361,135.000,5.679,1.925,0.519,0.850
16,RGB,797.625,106.595,0.882,34.563,943,1413,9.090,31.747,1.050,0.952,0.925
17,RGB,9.318,13.183,0.674,5.792,1347,1489,135.000,3.861,1.727,0.579,0.714
18,RGB,33.545,23.636,0.755,10.397,1173,1504,113.199,5.461,2.020,0.495,0.818
