 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RGB,4381.348,351.166,0.446,131.763,479,14,174.053,47.780,3.210,0.311,0.832
2,RGB,3.727,6.591,1.000,3.053,839,29,116.565,1.365,2.000,0.500,1.000
3,RGB,7.454,10.453,0.857,4.317,397,36,108.435,2.730,1.468,0.681,0.800
4,RGB,5.591,7.722,1.000,3.861,818,38,45.000,2.730,1.464,0.683,0.857
5,RGB,35.409,20.905,1.000,9.653,479,51,45.000,5.792,1.679,0.596,0.905
6,RGB,11.182,12.383,0.916,6.105,886,55,153.435,2.730,2.082,0.480,0.857
7,RGB,70.817,32.158,0.861,12.586,235,59,102.529,8.191,1.557,0.642,0.874
8,RGB,417.449,74.437,0.947,26.365,53,60,111.251,21.842,1.155,0.866,0.939
9,RGB,318.677,72.975,0.752,30.219,69,169,71.565,14.588,2.161,0.463,0.924
10,RGB,7752.619,482.309,0.419,130.147,550,243,74.798,95.516,1.420,0.704,0.812
11,RGB,96.908,35.688,0.956,14.766,110,177,56.310,9.556,1.418,0.705,0.937
12,RGB,16.772,14.314,1.000,6.826,889,189,143.130,4.095,1.542,0.648,0.857
13,RGB,723.081,106.595,0.800,36.758,1738,244,68.199,29.304,1.258,0.795,0.870
14,RGB,1.864,3.861,1.000,1.931,1649,249,135.000,1.365,1.000,1.000,1.000
15,RGB,3.727,5.792,1.000,3.053,1009,273,153.435,1.365,2.000,0.500,1.000
16,RGB,29.818,18.975,1.000,7.960,1500,333,149.036,5.461,1.314,0.761,0.914
17,RGB,44.727,23.636,1.000,9.653,483,386,45.000,6.826,1.210,0.827,0.906
18,RGB,20646.938,1025.953,0.246,267.414,801,401,147.933,162.615,1.610,0.621,0.694
19,RGB,37.272,23.967,0.815,9.653,513,392,45.000,6.716,1.404,0.712,0.769
20,RGB,562.810,92.281,0.831,33.716,455,466,111.371,25.604,1.338,0.748,0.906
21,RGB,37.272,23.636,0.838,9.938,444,482,74.055,5.461,1.643,0.609,0.870
22,RGB,3.727,5.792,1.000,3.053,621,483,153.435,1.365,2.000,0.500,1.000
23,RGB,11.182,14.314,0.686,6.826,1691,483,143.130,3.408,2.519,0.397,0.706
24,RGB,76.408,33.757,0.843,13.922,205,519,101.310,6.826,1.869,0.535,0.921
25,RGB,3.727,6.591,1.000,3.053,875,522,116.565,1.365,2.000,0.500,1.000
26,RGB,5.591,7.722,1.000,3.861,875,530,135.000,2.730,1.464,0.683,0.857
27,RGB,137.907,41.811,0.991,16.495,915,536,155.556,12.286,1.329,0.752,0.914
28,RGB,1.864,3.861,1.000,1.931,887,553,135.000,1.365,1.000,1.000,1.000
29,RGB,5.591,9.322,0.809,4.317,873,559,108.435,1.365,3.000,0.333,1.000
30,RGB,844.215,119.778,0.739,40.150,847,566,107.819,31.202,1.284,0.779,0.885
31,RGB,633.627,121.845,0.536,44.215,544,582,8.881,22.978,2.321,0.431,0.800
32,RGB,14.909,15.114,0.820,6.105,879,574,153.435,4.095,1.540,0.649,0.800
33,RGB,11.182,12.383,0.916,4.922,686,579,123.690,4.095,1.124,0.890,0.800
34,RGB,1161.029,126.506,0.912,43.620,1390,593,159.864,35.494,1.196,0.836,0.957
35,RGB,52.181,25.566,1.000,9.844,551,590,123.690,8.191,1.078,0.927,0.889
36,RGB,26.091,17.044,1.000,6.826,900,592,126.870,5.461,1.020,0.981,0.933
37,RGB,3.727,6.591,1.000,3.053,889,600,116.565,1.365,2.000,0.500,1.000
38,RGB,16.772,13.183,1.000,5.792,715,692,135.000,4.095,1.000,1.000,1.000
39,RGB,2579.237,203.205,0.785,66.093,415,700,141.710,57.577,1.086,0.921,0.916
40,RGB,16.772,14.314,1.000,6.105,745,700,116.565,4.095,1.185,0.844,0.857
41,RGB,7.454,12.052,0.645,5.629,707,717,104.036,1.365,4.000,0.250,1.000
42,RGB,1.864,3.861,1.000,1.931,702,719,135.000,1.365,1.000,1.000,1.000
43,RGB,11668.064,584.986,0.428,177.153,475,867,65.410,114.083,1.594,0.627,0.833
44,RGB,6667.998,517.997,0.312,158.009,670,755,140.258,90.550,1.907,0.524,0.709
45,RGB,136.044,43.741,0.894,16.886,731,775,75.964,12.286,1.353,0.739,0.880
46,RGB,3.727,5.792,1.000,3.053,340,769,153.435,1.365,2.000,0.500,1.000
47,RGB,108.089,38.418,0.920,14.512,395,826,131.186,10.921,1.184,0.845,0.906
48,RGB,7.454,10.453,0.857,4.317,323,832,108.435,2.730,1.468,0.681,0.800
49,RGB,27.954,20.905,0.804,8.304,715,832,99.462,5.461,1.433,0.698,0.769
50,RGB,65.226,36.819,0.605,15.263,387,843,63.435,6.907,2.821,0.354,0.787
51,RGB,5.591,10.453,0.643,4.922,403,837,123.690,2.442,2.702,0.370,0.667
52,RGB,20.500,16.244,0.976,6.826,435,837,126.870,4.827,1.450,0.689,0.846
53,RGB,290.723,65.115,0.862,24.190,721,844,16.390,16.731,1.470,0.680,0.915
54,RGB,7.454,7.722,1.000,3.861,339,845,135.000,2.730,1.000,1.000,1.000
55,RGB,7.454,12.052,0.645,5.629,421,845,104.036,1.365,4.000,0.250,1.000
56,RGB,5.591,7.722,1.000,3.861,654,847,135.000,2.730,1.464,0.683,0.857
57,RGB,1.864,3.861,1.000,1.931,343,849,135.000,1.365,1.000,1.000,1.000
58,RGB,83.862,36.819,0.777,14.252,407,849,106.699,9.556,1.517,0.659,0.811
59,RGB,54.045,26.697,0.953,11.006,456,852,150.255,7.722,1.490,0.671,0.866
60,RGB,1.864,3.861,1.000,1.931,397,864,135.000,1.365,1.000,1.000,1.000
61,RGB,203.134,55.131,0.840,21.585,467,881,55.305,15.017,1.378,0.726,0.916
62,RGB,5.591,7.722,1.000,3.861,390,869,135.000,2.730,1.464,0.683,0.857
63,RGB,5.591,9.322,0.809,4.317,459,869,108.435,1.365,3.000,0.333,1.000
64,RGB,508.766,104.801,0.582,43.385,325,886,12.724,16.777,2.958,0.338,0.876
65,RGB,42.863,25.566,0.824,10.662,1023,877,129.806,6.716,1.775,0.563,0.821
66,RGB,11.182,10.453,1.000,4.922,356,881,123.690,2.730,1.500,0.667,1.000
67,RGB,16.772,13.183,1.000,5.792,373,882,135.000,4.095,1.000,1.000,1.000
68,RGB,9.318,10.453,1.000,4.922,329,905,33.690,2.730,1.553,0.644,0.909
69,RGB,5.591,7.722,1.000,3.861,323,912,135.000,2.730,1.464,0.683,0.857
70,RGB,7.454,12.052,0.645,5.629,485,912,104.036,1.365,4.000,0.250,1.000
71,RGB,27.954,20.905,0.804,9.158,335,919,116.565,5.461,1.747,0.572,0.789
72,RGB,13.045,13.183,0.943,6.105,340,936,63.435,2.730,1.936,0.517,0.933
73,RGB,480.811,89.219,0.759,33.716,1393,976,68.629,21.689,1.616,0.619,0.905
74,RGB,14.909,14.314,0.914,6.105,1408,962,63.435,4.095,1.605,0.623,0.800
75,RGB,3.727,6.591,1.000,3.053,401,978,116.565,1.365,2.000,0.500,1.000
76,RGB,5.591,7.722,1.000,3.861,1054,985,135.000,2.730,1.464,0.683,0.857
77,RGB,1.864,3.861,1.000,1.931,489,989,135.000,1.365,1.000,1.000,1.000
78,RGB,31.681,18.975,1.000,7.960,415,990,120.964,5.461,1.263,0.792,0.919
79,RGB,167.725,54.800,0.702,22.514,1034,1012,75.964,9.556,2.420,0.413,0.900
80,RGB,1731.294,186.492,0.626,64.176,379,1005,128.089,39.316,1.743,0.574,0.862
81,RGB,11.182,10.453,1.000,4.922,705,1021,146.310,2.730,1.500,0.667,1.000
82,RGB,1.864,3.861,1.000,1.931,499,1041,135.000,1.365,1.000,1.000,1.000
83,RGB,20.500,18.175,0.780,7.960,351,1043,120.964,4.827,1.598,0.626,0.759
84,RGB,13302.450,731.598,0.312,191.373,378,1086,14.036,122.730,1.838,0.544,0.705
85,RGB,18.636,15.445,0.982,6.105,349,1055,116.565,5.461,1.028,0.973,0.769
86,RGB,7.454,10.453,0.857,4.922,991,1057,123.690,2.730,2.000,0.500,0.800
87,RGB,5.591,7.722,1.000,3.861,624,1059,135.000,2.730,1.464,0.683,0.857
88,RGB,1.864,3.861,1.000,1.931,379,1068,135.000,1.365,1.000,1.000,1.000
89,RGB,3276.227,233.901,0.753,85.297,119,1137,50.194,54.739,1.661,0.602,0.920
90,RGB,9.318,11.584,0.873,4.317,379,1118,108.435,3.861,1.000,1.000,0.714
91,RGB,78.272,34.088,0.846,12.951,990,1142,18.435,9.556,1.375,0.727,0.840
92,RGB,7.454,10.453,0.857,4.922,503,1177,123.690,2.730,2.000,0.500,0.800
93,RGB,29.818,22.836,0.719,9.844,558,1278,146.310,5.495,2.179,0.459,0.727
94,RGB,31.681,22.036,0.820,9.158,529,1305,116.565,5.792,1.526,0.655,0.791
95,RGB,3.727,6.591,1.000,3.053,721,1310,116.565,1.365,2.000,0.500,1.000
96,RGB,5.591,7.722,1.000,3.861,528,1317,135.000,2.730,1.464,0.683,0.857
97,RGB,3.727,6.591,1.000,3.053,551,1329,116.565,1.365,2.000,0.500,1.000
98,RGB,72.681,31.358,0.929,12.951,555,1336,108.435,8.191,1.575,0.635,0.867
99,RGB,1.864,3.861,1.000,1.931,513,1339,135.000,1.365,1.000,1.000,1.000
100,RGB,3.727,6.591,1.000,3.053,515,1343,116.565,1.365,2.000,0.500,1.000
101,RGB,3.727,5.792,1.000,3.053,518,1345,153.435,1.365,2.000,0.500,1.000
102,RGB,16.772,14.314,1.000,6.826,535,1348,126.870,4.095,1.542,0.648,0.857
103,RGB,3.727,6.591,1.000,3.053,517,1353,116.565,1.365,2.000,0.500,1.000
104,RGB,14.909,13.514,1.000,5.629,514,1357,165.964,4.095,1.195,0.837,0.800
105,RGB,3.727,5.792,1.000,3.053,523,1367,153.435,1.365,2.000,0.500,1.000
106,RGB,40.999,23.636,0.922,9.938,490,1380,15.945,5.461,1.620,0.617,0.898
107,RGB,1966.109,222.180,0.501,84.208,533,1382,163.034,36.470,2.619,0.382,0.821
108,RGB,568.401,98.541,0.736,37.485,651,1387,10.491,23.207,1.549,0.646,0.817
109,RGB,11.182,11.584,1.000,4.922,556,1380,33.690,3.861,1.291,0.775,0.800
110,RGB,61.499,28.297,0.965,10.662,605,1385,129.806,8.191,1.140,0.877,0.892
111,RGB,13.045,12.383,1.000,4.922,549,1408,123.690,4.095,1.069,0.936,0.875
112,RGB,1.864,3.861,1.000,1.931,574,1419,135.000,1.365,1.000,1.000,1.000
113,RGB,18.636,15.114,1.000,6.826,553,1423,126.870,4.095,1.288,0.776,0.909
114,RGB,11.182,10.453,1.000,4.922,560,1425,146.310,2.730,1.500,0.667,1.000
115,RGB,1.864,3.861,1.000,1.931,875,1425,135.000,1.365,1.000,1.000,1.000
116,RGB,993.304,163.188,0.469,54.946,530,1433,153.435,32.401,1.684,0.594,0.752
117,RGB,1.864,3.861,1.000,1.931,557,1429,135.000,1.365,1.000,1.000,1.000
118,RGB,197.543,64.315,0.600,25.393,575,1433,126.254,13.306,2.377,0.421,0.774
119,RGB,7.454,10.453,0.857,4.317,525,1436,108.435,2.730,1.468,0.681,0.800
120,RGB,57.772,28.765,0.877,11.743,572,1462,35.538,6.826,1.258,0.795,0.939
121,RGB,7.454,7.722,1.000,3.861,468,1463,135.000,2.730,1.000,1.000,1.000
122,RGB,48.454,32.957,0.561,13.719,591,1464,95.711,6.826,1.804,0.554,0.743
