 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,006.tiff,823.716,134.172,0.575,57.482,613,5,4.086,17.747,3.228,0.310,0.955
2,006.tiff,514.356,93.549,0.739,32.564,1815,2,146.976,24.121,1.437,0.696,0.863
3,006.tiff,7814.118,491.300,0.407,131.309,1493,52,3.576,99.578,1.420,0.704,0.790
4,006.tiff,8896.875,527.844,0.401,147.543,1789,99,22.294,93.797,1.589,0.629,0.800
5,006.tiff,113.680,41.480,0.830,16.495,1760,76,155.556,9.556,1.754,0.570,0.865
6,006.tiff,907.578,117.185,0.831,41.272,552,287,55.784,31.924,1.296,0.771,0.937
7,006.tiff,251.587,88.420,0.404,37.286,121,471,66.251,13.585,3.280,0.305,0.718
8,006.tiff,467.766,86.489,0.786,32.132,1453,482,102.265,19.812,1.694,0.590,0.921
9,006.tiff,4180.078,283.103,0.655,102.640,780,515,166.149,62.765,1.584,0.631,0.873
10,006.tiff,61.499,27.497,1.000,11.006,1403,529,150.255,8.191,1.320,0.758,0.892
11,006.tiff,24389.068,1015.500,0.297,237.785,1705,791,15.313,193.826,1.160,0.862,0.700
12,006.tiff,59.636,28.628,0.914,11.006,358,708,97.125,8.191,1.230,0.813,0.842
13,006.tiff,117.407,42.610,0.813,17.482,16,738,38.660,9.768,1.868,0.535,0.881
14,006.tiff,4137.215,311.536,0.536,99.468,751,820,43.332,68.888,1.816,0.551,0.764
15,006.tiff,16.772,14.314,1.000,6.105,399,768,153.435,4.095,1.536,0.651,0.857
16,006.tiff,5.591,9.322,0.809,4.317,1919,795,108.435,1.365,3.000,0.333,1.000
17,006.tiff,9508.140,616.538,0.314,197.686,338,1114,76.827,105.301,2.412,0.415,0.660
18,006.tiff,436.085,77.167,0.920,27.200,1674,1015,162.474,21.816,1.239,0.807,0.930
19,006.tiff,39.136,26.035,0.726,11.664,989,1162,110.556,4.095,2.499,0.400,0.955
20,006.tiff,4276.986,306.270,0.573,114.420,1275,1323,54.224,55.568,2.345,0.426,0.808
21,006.tiff,16.772,18.175,0.638,6.961,67,1295,101.310,5.461,1.327,0.754,0.643
22,006.tiff,13.045,13.514,0.898,5.629,919,1301,165.964,4.095,1.387,0.721,0.737
23,006.tiff,33906.525,1158.776,0.317,270.794,242,1350,176.532,223.339,1.218,0.821,0.759
24,006.tiff,20823.981,748.836,0.467,226.268,21,1364,171.674,139.081,1.776,0.563,0.859
25,006.tiff,281.405,68.839,0.746,28.407,1489,1329,125.218,13.514,2.224,0.450,0.880
26,006.tiff,10508.898,542.375,0.449,176.034,1313,1364,113.782,101.895,2.162,0.462,0.800
27,006.tiff,9.318,10.453,1.000,4.922,491,1393,123.690,2.730,1.553,0.644,0.909
28,006.tiff,18.636,16.244,0.887,7.352,1061,1452,158.199,4.095,1.690,0.592,0.833
29,006.tiff,296.314,65.584,0.866,25.172,1112,1473,40.601,17.115,1.450,0.690,0.924
30,006.tiff,298.178,63.984,0.915,23.487,356,1497,144.462,18.727,1.234,0.811,0.917
31,006.tiff,72.681,32.158,0.883,12.879,433,1502,32.005,9.066,1.492,0.670,0.857
