 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,WP40-1-4X-008.tiff:1,119.271,41.811,0.857,17.482,1482,31,128.660,9.653,1.813,0.552,0.901
2,WP40-1-4X-008.tiff:1,288.860,68.177,0.781,24.420,1310,35,153.435,17.747,1.251,0.800,0.886
3,WP40-1-4X-008.tiff:1,231.088,63.185,0.727,26.259,1546,58,62.103,13.901,2.252,0.444,0.861
4,WP40-1-4X-008.tiff:1,111.817,39.080,0.920,14.512,2016,61,41.186,11.584,1.222,0.818,0.870
5,WP40-1-4X-008.tiff:1,3490.542,295.954,0.501,92.840,1533,121,17.103,54.606,1.885,0.531,0.798
6,WP40-1-4X-008.tiff:1,1.864,3.861,1.000,1.931,814,96,135.000,1.365,1.000,1.000,1.000
7,WP40-1-4X-008.tiff:1,3.727,6.591,1.000,3.053,1914,138,116.565,1.365,2.000,0.500,1.000
8,WP40-1-4X-008.tiff:1,193.815,53.863,0.839,22.223,1476,171,10.620,12.286,1.794,0.557,0.897
9,WP40-1-4X-008.tiff:1,726.808,111.724,0.732,40.150,1608,217,35.311,26.659,1.446,0.692,0.883
10,WP40-1-4X-008.tiff:1,3.727,5.792,1.000,3.053,2033,212,153.435,1.365,2.000,0.500,1.000
11,WP40-1-4X-008.tiff:1,3.727,5.792,1.000,3.053,2030,220,153.435,1.365,2.000,0.500,1.000
12,WP40-1-4X-008.tiff:1,1.864,3.861,1.000,1.931,2032,224,135.000,1.365,1.000,1.000,1.000
13,WP40-1-4X-008.tiff:1,11.182,15.114,0.615,7.352,2024,230,21.801,2.730,3.550,0.282,0.750
14,WP40-1-4X-008.tiff:1,108.089,53.063,0.482,20.156,2035,235,28.301,9.497,2.281,0.438,0.725
15,WP40-1-4X-008.tiff:1,3.727,6.591,1.000,3.053,2024,231,116.565,1.365,2.000,0.500,1.000
16,WP40-1-4X-008.tiff:1,1017.531,121.377,0.868,39.800,1031,243,149.036,35.151,1.089,0.918,0.935
17,WP40-1-4X-008.tiff:1,7.454,11.252,0.740,5.629,2044,234,165.964,1.365,4.000,0.250,1.000
18,WP40-1-4X-008.tiff:1,1.864,3.861,1.000,1.931,2038,238,135.000,1.365,1.000,1.000,1.000
19,WP40-1-4X-008.tiff:1,1.864,3.861,1.000,1.931,2034,242,135.000,1.365,1.000,1.000,1.000
20,WP40-1-4X-008.tiff:1,35.409,24.767,0.725,8.741,56,262,141.340,7.937,1.237,0.808,0.717
21,WP40-1-4X-008.tiff:1,1183.393,137.290,0.789,50.969,60,283,20.376,35.494,1.413,0.708,0.932
22,WP40-1-4X-008.tiff:1,2756.280,219.781,0.717,78.481,487,314,166.931,50.658,1.511,0.662,0.902
23,WP40-1-4X-008.tiff:1,46.590,29.427,0.676,12.879,1376,396,147.995,6.757,2.091,0.478,0.769
24,WP40-1-4X-008.tiff:1,52.181,31.358,0.667,13.514,1330,396,135.000,6.716,2.202,0.454,0.767
25,WP40-1-4X-008.tiff:1,941.123,125.707,0.748,40.977,1248,431,60.018,32.377,1.220,0.820,0.890
26,WP40-1-4X-008.tiff:1,7.454,10.453,0.857,4.922,801,576,123.690,2.730,2.000,0.500,0.800
27,WP40-1-4X-008.tiff:1,613.128,93.412,0.883,31.130,0,594,15.255,27.791,1.107,0.903,0.918
28,WP40-1-4X-008.tiff:1,16.772,17.044,0.726,6.961,1710,610,101.310,4.095,1.425,0.702,0.750
29,WP40-1-4X-008.tiff:1,8268.839,429.246,0.564,134.291,958,691,17.146,99.105,1.333,0.750,0.851
30,WP40-1-4X-008.tiff:1,1.864,3.861,1.000,1.931,500,672,135.000,1.365,1.000,1.000,1.000
31,WP40-1-4X-008.tiff:1,5.591,7.722,1.000,3.861,510,677,135.000,2.730,1.464,0.683,0.857
32,WP40-1-4X-008.tiff:1,9.318,12.383,0.764,5.792,500,683,45.000,3.861,1.727,0.579,0.714
33,WP40-1-4X-008.tiff:1,1.864,3.861,1.000,1.931,510,684,135.000,1.365,1.000,1.000,1.000
34,WP40-1-4X-008.tiff:1,1278.437,156.596,0.655,55.098,1705,859,41.987,33.137,1.640,0.610,0.879
35,WP40-1-4X-008.tiff:1,950.441,119.915,0.831,46.193,211,840,161.030,28.668,1.581,0.633,0.946
36,WP40-1-4X-008.tiff:1,959.759,126.506,0.754,44.299,1240,870,123.690,31.786,1.354,0.739,0.914
37,WP40-1-4X-008.tiff:1,764.080,111.724,0.769,41.452,480,914,162.759,25.938,1.633,0.612,0.905
38,WP40-1-4X-008.tiff:1,760.353,104.995,0.867,37.136,433,957,162.897,29.533,1.218,0.821,0.916
39,WP40-1-4X-008.tiff:1,1358.572,153.535,0.724,54.195,1374,983,49.086,37.105,1.452,0.689,0.910
40,WP40-1-4X-008.tiff:1,74.544,36.019,0.722,13.445,1272,1082,156.038,8.191,1.743,0.574,0.816
41,WP40-1-4X-008.tiff:1,890.806,173.972,0.370,43.105,1753,1169,10.954,35.059,1.315,0.761,0.764
42,WP40-1-4X-008.tiff:1,1.864,3.861,1.000,1.931,1762,1158,135.000,1.365,1.000,1.000,1.000
43,WP40-1-4X-008.tiff:1,724.944,102.733,0.863,38.248,1704,1312,177.955,25.702,1.458,0.686,0.930
44,WP40-1-4X-008.tiff:1,521.811,98.872,0.671,41.272,1991,1347,34.216,19.536,2.371,0.422,0.893
45,WP40-1-4X-008.tiff:1,9.318,13.183,0.674,5.792,458,1398,135.000,3.861,1.727,0.579,0.714
46,WP40-1-4X-008.tiff:1,35.409,20.905,1.000,7.960,1852,1399,120.964,6.826,1.083,0.923,0.884
47,WP40-1-4X-008.tiff:1,119.271,42.942,0.813,17.482,318,1401,141.340,10.447,1.758,0.569,0.837
48,WP40-1-4X-008.tiff:1,93.181,35.219,0.944,13.445,302,1408,113.962,10.618,1.286,0.777,0.885
49,WP40-1-4X-008.tiff:2,39.136,23.967,0.856,8.634,1762,1157,108.435,7.722,1.131,0.884,0.808
50,WP40-1-4X-008.tiff:4,5862411.044,9782.133,0.770,3494.761,0,0,143.130,2096.857,1.333,0.750,1.000
