#,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,001.tiff,12803.003,947.049,0.179,268.017,237,198,48.924,114.312,2.994,0.334,0.553
2,001.tiff,14970.381,831.738,0.272,203.955,1549,108,132.016,142.159,1.696,0.59,0.704
3,001.tiff,14.909,12.383,1,5.792,422,119,45,4.095,1.229,0.814,0.941
4,001.tiff,42.863,23.304,0.992,9.844,434,124,33.69,5.461,1.503,0.665,0.979
5,001.tiff,81.999,32.158,0.996,12.879,1481,181,122.005,9.556,1.226,0.815,0.898
6,001.tiff,44.727,23.636,1,9.844,1868,228,33.69,6.826,1.409,0.71,0.906
7,001.tiff,413.721,78.767,0.838,28.505,491,267,16.699,20.132,1.487,0.673,0.914
8,001.tiff,46.59,25.566,0.896,11.257,452,380,14.036,5.461,1.859,0.538,0.893
9,001.tiff,3455.133,266.058,0.613,93.47,582,555,83.29,51.875,1.932,0.518,0.875
10,001.tiff,685.809,98.404,0.89,32.449,1369,596,67.751,29.787,1.044,0.958,0.927
11,001.tiff,46.59,26.366,0.842,11.664,1614,578,20.556,5.461,1.937,0.516,0.909
12,001.tiff,7.454,7.722,1,3.861,1795,796,135,2.73,1,1,1
13,001.tiff,26.091,18.175,0.993,6.961,1802,797,101.31,5.461,1.017,0.983,0.824
14,001.tiff,9906.952,589.316,0.358,183.153,1693,911,169.695,104.209,2.078,0.481,0.719
15,001.tiff,57.772,26.366,1,9.844,537,864,123.69,8.191,1.058,0.945,0.925
16,001.tiff,171.452,49.202,0.89,17.799,1012,918,122.471,14.042,1.265,0.791,0.898
17,001.tiff,26884.442,1064.702,0.298,281.855,1657,962,141.687,191.567,1.504,0.665,0.731
18,001.tiff,50.317,26.697,0.887,10.397,1984,1098,23.199,7.722,1.35,0.741,0.844
19,001.tiff,6416.41,396.426,0.513,130.291,1206,1240,125.189,78.243,1.891,0.529,0.799
20,001.tiff,2871.823,371.934,0.261,146.147,586,1363,81.946,37.873,5.915,0.169,0.633
21,001.tiff,471.493,99.341,0.6,42.866,1082,1383,99.162,17.134,2.496,0.401,0.904
22,001.tiff,8520.426,519.734,0.396,156.635,855,1427,173.494,85.714,1.809,0.553,0.789
23,001.tiff,93.181,39.549,0.749,16.886,1791,1450,14.036,8.191,1.811,0.552,0.87
