 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,004.tiff,9.318,13.983,0.599,6.961,911,0,168.69,1.365,5.0,0.2,1.0
2,004.tiff,7.454,7.722,1.0,3.861,1167,17,135.0,2.73,1.0,1.0,1.0
6,004.tiff,18.636,14.314,1.0,6.105,1141,96,153.435,4.095,1.236,0.809,0.909
8,004.tiff,33.545,20.106,1.0,8.741,1146,110,128.66,6.105,1.475,0.678,0.857
17,004.tiff,31.681,22.836,0.763,9.844,1865,430,123.69,6.437,1.786,0.56,0.739
18,004.tiff,39.136,30.696,0.522,11.743,690,461,35.538,7.726,1.643,0.609,0.7
20,004.tiff,35.409,22.036,0.916,8.634,1811,523,161.565,6.826,1.214,0.824,0.809
26,004.tiff,7.454,9.653,1.0,4.317,988,813,161.565,2.73,1.468,0.681,0.8
27,004.tiff,14.909,12.383,1.0,5.792,1664,839,45.0,4.095,1.229,0.814,0.941
28,004.tiff,13.045,14.314,0.8,5.629,911,954,104.036,4.095,1.387,0.721,0.737
29,004.tiff,3.727,6.591,1.0,3.053,1705,1050,116.565,1.365,2.0,0.5,1.0
30,004.tiff,11.182,10.453,1.0,4.922,1124,1075,123.69,2.73,1.5,0.667,1.0
32,004.tiff,26.091,20.905,0.75,8.634,282,1166,71.565,4.884,1.896,0.527,0.778
34,004.tiff,46.59,35.688,0.46,15.979,811,1273,70.017,4.966,3.83,0.261,0.725
35,004.tiff,22.363,15.913,1.0,6.826,1575,1285,126.87,4.095,1.333,0.75,1.0
37,004.tiff,44.727,25.566,0.86,11.584,420,1485,135.0,6.757,1.685,0.594,0.889
